City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(legacy
definition)2","Rape
(revised
definition)1",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
Bell Acres,1404,0,0,,0,0,0,2,0,2,0,0
Bellevue,8347,27,0,,1,8,18,245,59,181,5,0
Bellwood,1809,0,0,,0,0,0,34,2,32,0,0
Ben Avon,1773,2,0,,0,0,2,36,1,35,0,0
Ben Avon Heights,374,0,0,,0,0,0,7,0,7,0,0
Bensalem Township,60516,106,0,,27,58,21,2026,198,1738,90,13
Benton Area,1936,0,0,,0,0,0,20,4,16,0,0
Berlin,2065,5,0,,0,0,5,7,0,7,0,0
Bern Township,6877,9,0,,1,0,8,63,7,54,2,0
Bernville,955,0,0,,0,0,0,2,0,2,0,0
Berwick,10326,33,0,,1,3,29,401,106,284,11,1
Bessemer,1082,0,0,,0,0,0,0,0,0,0,0
Bethel Park,32392,19,0,,1,2,16,256,33,216,7,0
"Bethel Township, Armstrong County",1187,0,0,,0,0,0,0,0,0,0,0
"Bethel Township, Berks County",4125,5,0,,0,0,5,21,2,18,1,0
"Bethel Township, Delaware County",9102,19,1,,0,0,18,113,21,91,1,1
Bethlehem,75135,183,4,,27,74,78,2010,365,1601,44,7
Bethlehem Township,23873,22,0,,0,5,17,477,51,417,9,0
Biglerville4,1206,0,0,,0,0,0,12,0,11,1,0
Birdsboro,5162,6,0,,2,2,2,62,8,52,2,0
Birmingham Township,4241,1,0,,0,1,0,22,2,19,1,0
Blair Township,4573,1,0,,0,0,1,33,6,25,2,0
Blakely,6545,2,0,,0,0,2,96,17,74,5,0
Blawnox,1433,7,0,,0,0,7,11,5,6,0,0
Bloomsburg Town,14563,41,0,,9,3,29,231,56,173,2,0
Blossburg,1554,1,0,,0,0,1,9,3,6,0,0
Bonneauville,1805,1,0,,0,0,1,7,0,5,2,0
Boswell,1255,0,0,,0,0,0,0,0,0,0,0
Brackenridge,3249,2,0,,0,0,2,72,8,60,4,0
Braddock Hills,1876,4,0,,2,0,2,28,3,25,0,0
Bradford,8660,89,0,,4,0,85,320,41,269,10,0
Bradford Township,4834,12,0,,2,1,9,49,5,39,5,0
"Brecknock Township, Berks County",4614,1,0,,0,0,1,20,10,9,1,0
Brentwood,9613,28,0,,0,6,22,239,22,201,16,0
Briar Creek Township,3020,1,0,,0,0,1,70,15,53,2,0
Bridgeport,4574,4,0,,0,0,4,127,23,101,3,0
Bridgeville,5140,5,0,,0,0,5,69,11,57,1,0
Bridgewater,702,8,0,,0,1,7,31,9,21,1,0
Bristol,9674,28,0,,1,17,10,310,55,246,9,2
Bristol Township,54456,84,2,,6,58,18,1464,247,1127,90,9
Brockway,2048,10,0,,0,1,9,51,3,48,0,0
Brookhaven,8049,16,0,,1,9,6,167,18,143,6,1
Brookville,3878,5,0,,2,0,3,81,2,79,0,1
Brownsville,2309,10,0,,0,8,2,45,8,34,3,0
Bryn Athyn,1402,0,0,,0,0,0,10,2,8,0,0
Buckingham Township,20396,2,0,,1,0,1,97,13,82,2,0
Buffalo Township,7314,11,0,,0,1,10,36,8,28,0,0
Buffalo Valley Regional,12144,7,0,,0,1,6,81,17,64,0,0
Burgettstown,1374,4,0,,3,0,1,29,11,17,1,1
"Butler Township, Butler County",17095,15,0,,2,4,9,361,24,329,8,0
"Butler Township, Luzerne County",9427,34,0,,1,0,33,152,35,116,1,0
"Butler Township, Schuylkill County",5850,0,0,,0,0,0,22,10,11,1,0
"Caernarvon Township, Berks County",4030,18,0,,0,0,18,89,12,73,4,0
California,7267,21,0,,3,7,11,107,18,87,2,2
Callery,389,0,0,,0,0,0,0,0,0,0,0
Caln Township,14090,71,1,,1,4,65,329,24,295,10,0
Cambria Township,6025,1,0,,0,0,1,85,6,76,3,0
Cambridge Springs,2383,1,0,,0,1,0,6,0,6,0,0
Canton,1998,2,0,,0,0,2,33,7,24,2,0
Carbondale,8869,11,0,,1,4,6,131,42,77,12,0
Carrolltown,836,1,0,,0,0,1,14,5,9,0,0
"Carroll Township, Washington County",5621,8,0,,0,0,8,57,8,47,2,0
"Carroll Township, York County",6074,3,1,,0,0,2,67,15,50,2,0
Carroll Valley4,3896,2,0,,1,1,0,71,17,54,0,0
Castle Shannon,8301,8,0,,0,1,7,71,12,59,0,0
Catasauqua,6510,2,0,,0,0,2,103,15,78,10,0
Catawissa,1527,4,0,,2,1,1,17,7,10,0,0
Cecil Township,11683,5,0,,0,0,5,67,15,52,0,0
Center Township,11775,25,0,,0,3,22,435,30,404,1,0
Centerville,3236,2,0,,0,0,2,24,10,13,1,3
Central Berks Regional,9493,13,0,,2,4,7,150,35,105,10,3
Chalfont,4066,0,0,,0,0,0,19,1,18,0,0
Chambersburg,20381,86,0,,3,46,37,810,127,660,23,1
Charleroi Regional,6756,51,0,,3,11,37,350,74,265,11,5
Chartiers Township,7938,5,0,,1,0,4,91,16,73,2,0
Cheltenham Township,36903,88,1,,1,64,22,939,186,723,30,1
Cherry Tree,355,0,0,,0,0,0,0,0,0,0,0
Chester,34037,731,22,,29,236,444,1181,354,697,130,21
Chester Township,4132,55,1,,2,6,46,133,53,71,9,1
Chippewa Township,8152,3,0,,0,2,1,249,18,228,3,0
Christiana,1172,1,0,,0,0,1,25,9,15,1,0
Churchill,3007,11,0,,0,0,11,35,9,24,2,0
Clarion,5117,5,0,,1,2,2,68,8,54,6,1
Clarks Summit,6588,7,0,,0,0,7,38,9,29,0,0
Clearfield,6108,26,0,,2,4,20,233,17,212,4,1
Cleona,2119,2,0,,0,2,0,20,3,17,0,0
Clifton Heights,6654,68,0,,2,11,55,170,22,141,7,3
Coaldale,2238,0,0,,0,0,0,3,3,0,0,0
Coal Township,10417,21,0,,1,0,20,304,50,245,9,2
Coatesville,13144,140,0,,0,62,78,360,76,225,59,9
Cochranton,1114,1,0,,0,1,0,3,3,0,0,0
Collegeville,5161,1,0,,0,0,1,65,7,58,0,0
Collier Township,7543,6,0,,1,0,5,201,18,181,2,0
Colonial Regional,19575,7,0,,2,4,1,530,61,463,6,0
Columbia,10375,24,1,,2,8,13,225,60,154,11,3
"Conemaugh Township, Cambria County",1966,3,0,,0,0,3,3,0,2,1,0
"Conemaugh Township, Somerset County",7175,4,0,,1,1,2,45,18,27,0,0
"Conewago Township, Adams County",7099,6,0,,4,1,1,89,6,82,1,0
Conewango Township,3495,12,0,,1,1,10,122,10,111,1,0
Conneaut Lake Regional,3538,0,0,,0,0,0,43,8,33,2,1
Connellsville,7567,26,0,,4,14,8,357,85,260,12,0
Conoy Township,3391,2,0,,0,1,1,28,14,14,0,0
Conshohocken,7875,14,0,,0,3,11,160,15,139,6,0
Conway,2164,3,0,,0,1,2,14,5,9,0,1
Conyngham,1907,0,0,,0,0,0,7,2,5,0,0
"Conyngham Township, Columbia County",754,4,0,,0,0,4,3,0,3,0,0
Coopersburg,2406,4,0,,0,1,3,19,2,16,1,0
Coplay,3228,1,0,,0,0,1,69,12,55,2,0
Coraopolis,5661,43,1,,1,4,37,128,12,112,4,0
Cornwall,4188,1,0,,0,0,1,4,1,3,0,0
Corry,6546,33,0,,1,1,31,308,59,247,2,2
Coudersport,2554,0,0,,0,0,0,10,1,9,0,0
Courtdale,735,3,0,,0,1,2,7,2,4,1,0
Covington Township,2330,1,0,,0,0,1,40,11,28,1,0
Cranberry Township,29062,17,0,,3,4,10,430,18,409,3,1
Crescent Township,2643,7,0,,0,0,7,39,14,24,1,0
Cresson,1668,3,0,,0,1,2,18,2,16,0,0
Cresson Township,4278,2,0,,1,1,0,13,4,9,0,0
Croyle Township,2304,0,0,,0,0,0,16,1,14,1,0
"Cumberland Township, Adams County",6169,3,0,,0,0,3,52,15,33,4,0
"Cumberland Township, Greene County",6493,18,0,,0,1,17,173,17,148,8,2
Cumru Township,15222,17,0,,1,11,5,240,45,182,13,2
Curwensville,2499,17,0,,0,1,16,49,7,41,1,0
Dallas4,2808,0,0,,0,0,0,13,2,8,3,0
Dallas Township,9075,5,0,,4,0,1,88,27,57,4,0
Dalton,1233,1,0,,0,0,1,20,6,14,0,0
Danville,4648,28,0,,0,0,28,99,7,91,1,1
Darby,10680,466,1,,87,80,298,525,174,304,47,5
Darby Township,9274,53,0,,0,11,42,278,36,240,2,1
Darlington Township,1966,1,0,,0,0,1,31,14,16,1,0
Decatur Township,4519,8,1,,0,0,7,45,9,33,3,0
Delano Township,438,0,0,,0,0,0,0,0,0,0,0
Delmont,2652,0,0,,0,0,0,22,3,18,1,0
"Derry Township, Dauphin County",24838,35,1,,1,10,23,465,72,386,7,4
Dickson City,6061,25,0,,0,4,21,248,14,230,4,1
Donora,4735,12,0,,0,1,11,64,13,50,1,1
Dormont,8573,22,0,,1,3,18,78,20,53,5,0
"Douglass Township, Berks County",3337,2,0,,0,0,2,32,9,22,1,0
"Douglass Township, Montgomery County",10345,25,0,,3,2,20,131,14,109,8,0
Doylestown,8361,14,1,,0,1,12,179,26,148,5,1
Doylestown Township,17575,10,0,,4,0,6,176,20,155,1,1
Dublin Borough,2155,3,0,,0,0,3,20,2,18,0,0
Du Bois,7685,24,0,,3,4,17,220,30,185,5,0
Dunbar,1029,3,0,,1,0,2,7,0,7,0,0
Dunmore,14074,10,0,,0,2,8,145,20,122,3,1
Dunnstable Township,1017,0,0,,0,0,0,7,6,1,0,0
Dupont,2718,9,0,,1,0,8,51,4,44,3,0
Duquesne,5555,55,2,,6,31,16,260,95,146,19,4
Duryea,4936,4,0,,1,0,3,145,43,92,10,0
Earl Township,7130,2,0,,1,0,1,48,9,36,3,0
East Berlin,1521,0,0,,0,0,0,0,0,0,0,0
East Bethlehem Township,2331,5,0,,0,1,4,40,5,34,1,0
East Brandywine Township,7461,10,0,,1,1,8,84,4,76,4,0
East Cocalico Township,10399,3,0,,0,0,3,140,28,101,11,1
East Conemaugh,1503,0,0,,0,0,0,18,3,15,0,0
East Coventry Township,6765,1,0,,0,0,1,51,7,44,0,0
East Deer Township,1494,2,0,,0,0,2,31,4,26,1,0
East Earl Township4,6659,1,0,,1,0,0,86,12,70,4,0
Eastern Adams Regional,7315,1,0,,0,1,0,45,1,43,1,0
Eastern Pike Regional,4715,7,0,,3,1,3,220,14,203,3,0
East Fallowfield Township,7549,6,1,,0,1,4,93,35,53,5,1
East Hempfield Township,23935,26,0,,11,4,11,450,68,371,11,0
East Lampeter Township,16780,19,1,,0,12,6,805,54,740,11,2
East Lansdowne,2661,29,0,,1,7,21,96,20,73,3,0
East Marlborough Township,7196,0,0,,0,0,0,12,2,10,0,0
East Norriton Township,14107,22,0,,3,6,13,361,20,336,5,1
East Norwegian Township4,852,0,0,,0,0,0,1,0,0,1,0
Easton,27001,96,2,,14,35,45,724,142,542,40,7
East Penn Township,2859,0,0,,0,0,0,27,6,21,0,0
East Petersburg,4515,1,0,,0,1,0,65,5,59,1,0
East Pikeland Township,7300,3,0,,0,2,1,58,8,49,1,0
East Pittsburgh,1818,57,1,,2,4,50,70,19,47,4,0
East Rochester,560,4,0,,0,2,2,45,3,41,1,0
East Taylor Township,2661,2,0,,1,0,1,27,8,19,0,0
Easttown Township,10564,10,0,,1,0,9,92,20,69,3,0
East Union Township,1615,0,0,,0,0,0,0,0,0,0,0
East Vincent Township,6858,4,0,,0,2,2,42,9,32,1,0
East Washington,2218,15,0,,0,0,15,51,12,36,3,0
East Whiteland Township,10654,2,0,,0,0,2,126,9,116,1,0
Ebensburg,3279,7,0,,1,2,4,44,5,36,3,1
Economy4,9107,0,0,,0,0,0,49,11,35,3,0
Eddystone,2410,20,0,,0,5,15,254,14,236,4,0
Edgewood,3107,12,0,,0,4,8,185,5,177,3,0
Edgeworth,1682,2,0,,0,0,2,0,0,0,0,0
Edinboro,6450,6,0,,1,1,4,88,17,70,1,0
Edwardsville,4798,44,0,,1,4,39,253,23,227,3,1
Elizabethtown,11562,8,0,,2,2,4,155,22,131,2,0
Elizabeth Township,13298,11,0,,1,2,8,171,36,134,1,0
Elkland,1835,0,0,,0,0,0,12,0,12,0,0
Ellwood City,7739,25,1,,1,6,17,162,35,126,1,1
Emlenton Borough,612,0,0,,0,0,0,1,0,1,0,0
Emmaus,11338,7,1,,1,3,2,209,37,167,5,0
Emporium,1995,1,0,,0,0,1,23,3,20,0,1
Emsworth,2447,1,0,,0,0,1,28,0,28,0,0
Ephrata,13541,28,0,,3,5,20,247,40,199,8,0
Ephrata Township,10140,11,0,,1,2,8,206,17,186,3,2
Erie,100814,457,3,,60,175,219,3208,1017,2093,98,24
Etna,3440,9,0,,0,0,9,81,15,62,4,2
Everett,1786,3,0,,0,0,3,24,2,22,0,0
"Exeter Township, Berks County",25749,14,0,,4,4,6,455,58,388,9,0
Fairfield4,506,0,0,,0,0,0,9,0,8,1,0
"Fairview Township, Luzerne County",4525,0,0,,0,0,0,37,10,27,0,0
"Fairview Township, York County",16915,26,0,,3,4,19,275,51,217,7,2
"Falls Township, Bucks County",34234,46,0,,5,23,18,874,89,739,46,1
Fawn Township,2380,3,0,,0,0,3,27,9,18,0,0
Fayette City,591,0,0,,0,0,0,3,0,3,0,0
Ferguson Township,17807,14,0,,2,2,10,122,28,92,2,0
Ferndale,1592,5,0,,0,1,4,1,1,0,0,0
Findlay Township,5201,3,0,,2,0,1,44,7,36,1,1
Fleetwood,4086,5,0,,0,0,5,93,23,68,2,0
Ford City,2938,4,0,,0,0,4,32,2,28,2,0
Forest City,1859,3,0,,0,0,3,25,4,21,0,1
Forest Hills,6510,10,0,,0,3,7,89,21,68,0,0
Forks Township,15131,3,0,,0,0,3,125,11,109,5,1
Forty Fort,4186,5,1,,1,1,2,61,9,49,3,0
Forward Township,3375,1,0,,0,0,1,54,8,45,1,1
"Foster Township, McKean County",4287,4,1,,1,1,1,27,2,25,0,0
"Foster Township, Schuylkill County",253,0,0,,0,0,0,0,0,0,0,0
Fountain Hill,4631,17,0,,2,2,13,145,20,123,2,2
Fox Chapel,5415,1,0,,0,0,1,16,4,12,0,0
Frackville,3757,10,0,,2,0,8,19,1,17,1,0
Franconia Township,13245,5,0,,1,0,4,100,15,80,5,0
Franklin,6415,8,0,,1,1,6,180,30,146,4,1
Franklin Park,14027,3,0,,0,0,3,59,4,55,0,0
"Franklin Township, Carbon County",4236,11,0,,2,1,8,49,12,37,0,0
Frazer Township,1155,0,0,,0,0,0,113,0,112,1,0
Freedom,1553,9,0,,1,0,8,45,6,35,4,0
Freeland,3509,16,0,,1,3,12,127,43,80,4,0
Freemansburg,2624,3,0,,1,0,2,83,18,64,1,0
Freeport,1785,5,0,,0,0,5,11,1,10,0,0
Galeton,1157,0,0,,0,0,0,11,3,8,0,0
Gallitzin Township,1303,0,0,,0,0,0,0,0,0,0,0
Geistown,2410,0,0,,0,0,0,47,13,31,3,0
Gettysburg,7653,27,0,,8,8,11,141,28,110,3,2
Gilberton,759,0,0,,0,0,0,0,0,0,0,0
Girard,3068,7,0,,0,1,6,32,1,31,0,0
Girardville,1501,2,0,,0,0,2,2,1,1,0,0
Glassport,4466,22,0,,1,11,10,139,27,103,9,2
Granville Township,5108,2,0,,0,0,2,127,10,116,1,0
Great Bend,713,0,0,,0,0,0,9,2,7,0,0
Greencastle4,4025,2,0,,0,0,2,64,6,57,1,0
"Greenfield Township, Blair County",4165,1,0,,0,0,1,96,10,84,2,0
Greensburg,14689,26,0,,4,4,18,334,50,282,2,1
Green Tree,4431,14,0,,0,0,14,68,13,55,0,2
Greenville,5890,24,0,,4,3,17,116,45,67,4,0
Grove City,8206,3,0,,0,0,3,78,18,59,1,0
Hamburg,4283,14,0,,2,2,10,93,15,74,4,0
Hampton Township,18478,14,0,,0,2,12,111,14,95,2,0
Hanover,15362,24,1,,1,8,14,505,36,465,4,0
"Hanover Township, Luzerne County",11075,31,0,,3,9,19,293,66,208,19,2
Harmony Township,3157,7,0,,1,1,5,53,11,39,3,0
Harrisville,900,0,0,,0,0,0,1,1,0,0,0
Harveys Lake,2800,2,0,,0,0,2,39,6,32,1,0
Hatboro,7387,2,0,,0,2,0,72,7,62,3,0
Hatfield Township,20890,17,1,,3,6,7,252,37,203,12,1
Haverford Township,48717,27,0,,1,11,15,715,100,603,12,0
Hazleton,25191,83,1,,2,26,54,631,242,358,31,5
Heidelberg,1246,3,0,,0,0,3,5,2,3,0,0
"Heidelberg Township, Berks County",1738,1,0,,0,0,1,10,0,10,0,0
Hellam Township,8691,21,0,,4,0,17,91,14,70,7,1
Hellertown,5857,18,0,,0,1,17,67,15,52,0,0
Hemlock Township,2246,1,0,,0,1,0,105,7,95,3,0
"Hempfield Township, Mercer County",3777,6,1,,1,0,4,168,25,137,6,0
Hermitage,16163,38,0,,5,15,18,559,67,488,4,1
Hickory Township,2443,1,0,,1,0,0,17,4,12,1,0
Highland Township,1288,0,0,,0,0,0,1,0,1,0,0
Highspire,2384,9,1,,0,2,6,77,10,66,1,0
Hilltown Township,15199,13,1,,2,2,8,222,40,180,2,0
Hollidaysburg,5836,3,0,,1,1,1,51,4,45,2,2
Homestead,3152,43,2,,2,24,15,236,38,179,19,0
Honesdale,4294,20,0,,1,2,17,120,18,98,4,0
Honey Brook,1749,2,0,,0,0,2,1,0,1,0,0
Horsham Township,26397,25,0,,5,5,15,206,37,160,9,2
Hughesville,2150,2,0,,0,1,1,28,2,26,0,0
Hulmeville,1011,0,0,,0,0,0,2,0,2,0,0
Hummelstown,4517,1,0,,0,0,1,66,11,51,4,0
Huntingdon,7068,12,0,,0,0,12,60,1,57,2,0
"Independence Township, Beaver County",2487,0,0,,0,0,0,21,7,9,5,0
"Independence Township, Washington County",1544,0,0,,0,0,0,10,2,6,2,0
Indiana,13942,199,0,,9,6,184,249,23,224,2,2
Indiana Township,7324,4,0,,1,0,3,50,11,39,0,0
Indian Lake,394,1,0,,0,0,1,1,1,0,0,0
Ingram,3319,0,0,,0,0,0,29,7,20,2,0
Irwin,3921,19,0,,0,0,19,58,14,44,0,0
Ivyland,1041,1,0,,0,0,1,7,2,5,0,0
"Jackson Township, Butler County",3643,0,0,,0,0,0,27,18,9,0,0
"Jackson Township, Cambria County",4297,2,0,,0,0,2,10,4,5,1,0
Jamestown,605,0,0,,0,0,0,13,4,8,1,0
Jeannette,9493,7,0,,0,2,5,77,14,63,0,1
Jefferson Hills Borough,11102,10,0,,0,2,8,91,21,67,3,0
"Jefferson Township, Lackawanna County",3775,5,0,,1,0,4,20,8,9,3,0
"Jefferson Township, Mercer County",1862,2,0,,0,0,2,16,4,11,1,0
"Jefferson Township, Washington County",1168,0,0,,0,0,0,0,0,0,0,0
Jenkins Township,4477,4,0,,0,1,3,68,11,55,2,0
Jenkintown,4449,2,0,,0,0,2,22,5,17,0,0
Jennerstown,683,0,0,,0,0,0,1,0,1,0,0
Jermyn,2165,23,0,,0,0,23,47,16,29,2,0
Jim Thorpe,4734,8,0,,0,1,7,113,11,100,2,0
Johnsonburg,2435,8,0,,0,3,5,51,11,40,0,1
Johnstown,21954,129,7,,2,44,76,802,277,497,28,7
Kenhorst,2870,13,0,,1,4,8,44,9,34,1,0
Kennedy Township,7848,25,0,,2,4,19,119,8,108,3,0
Kennett Square,6126,11,0,,1,3,7,92,16,72,4,0
Kidder Township,1947,9,0,,0,1,8,100,17,83,0,0
Kilbuck Township,702,0,0,,0,0,0,6,0,6,0,0
Kingston,13117,21,0,,0,10,11,323,57,255,11,3
Kingston Township,7035,10,0,,0,2,8,53,7,43,3,1
Kittanning,3966,7,0,,0,6,1,19,1,18,0,1
Kline Township,1422,0,0,,0,0,0,29,2,27,0,0
Knox,1141,2,0,,0,0,2,16,3,13,0,1
Kutztown,5003,10,0,,1,6,3,148,24,116,8,0
Laceyville,371,0,0,,0,0,0,0,0,0,0,0
Lake City,3020,2,0,,0,0,2,63,8,55,0,2
Lamar Township,2547,0,0,,0,0,0,11,5,6,0,0
Lancaster,59370,497,5,,53,249,190,2692,441,2165,86,19
"Lancaster Township, Butler County",2534,0,0,,0,0,0,13,2,11,0,0
"Lancaster Township, Lancaster County",17084,20,0,,5,8,7,502,115,365,22,1
Langhorne Manor,1439,2,0,,0,0,2,7,3,3,1,0
Lansdale,16395,34,0,,7,9,18,246,13,224,9,2
Lansdowne,10621,33,0,,4,12,17,249,61,175,13,2
Larksville,4463,9,0,,2,0,7,92,15,74,3,0
Latimore Township,2582,0,0,,0,0,0,20,2,18,0,0
Latrobe,8204,27,0,,1,2,24,201,23,167,11,2
Laureldale,3905,6,0,,1,2,3,28,6,21,1,0
Lawrence Park Township,3933,6,0,,0,0,6,33,4,29,0,0
"Lawrence Township, Clearfield County",7583,59,0,,5,4,50,260,33,223,4,0
"Lawrence Township, Tioga County",1748,4,0,,0,0,4,1,0,0,1,0
Lawrenceville,622,3,0,,0,0,3,6,2,4,0,0
Lebanon,25583,103,2,,2,62,37,785,139,623,23,7
Leechburg,2110,2,0,,0,0,2,17,6,11,0,0
Leetsdale,1214,6,1,,0,0,5,43,3,39,1,0
Lehighton,5417,11,0,,0,4,7,160,34,118,8,2
"Lehigh Township, Northampton County",10482,5,0,,1,0,4,144,35,103,6,1
Lehman Township,3518,10,1,,0,0,9,28,4,22,2,0
Lewistown,8370,40,0,,3,2,35,320,46,267,7,2
Liberty,2549,1,0,,0,0,1,15,0,15,0,0
Ligonier,1547,5,0,,0,0,5,19,3,14,2,0
Ligonier Township,6541,8,0,,0,1,7,32,4,27,1,0
Limerick Township,18619,2,0,,1,1,0,480,33,439,8,1
Lincoln,1073,1,0,,1,0,0,12,4,7,1,1
Linesville,1016,2,0,,0,0,2,7,2,5,0,0
Lititz,9389,5,0,,1,0,4,78,19,55,4,2
Little Beaver Township,1389,0,0,,0,0,0,0,0,0,0,0
Littlestown,4434,9,0,,0,1,8,89,13,75,1,0
Lock Haven,9806,17,0,,4,5,8,221,38,178,5,3
Locust Township,2540,4,0,,0,0,4,35,18,17,0,1
Logan Township,12340,47,0,,1,1,45,247,12,228,7,2
Loretto,1390,0,0,,0,0,0,0,0,0,0,0
Lower Allen Township,18040,17,0,,6,5,6,302,41,255,6,1
Lower Burrell,11605,9,0,,1,0,8,132,27,102,3,0
Lower Chichester Township,3470,33,0,,1,6,26,88,7,75,6,0
Lower Frederick Township,4883,1,0,,0,0,1,46,5,41,0,1
Lower Gwynedd Township,11546,14,0,,1,4,9,182,22,155,5,0
Lower Heidelberg Township,5630,3,0,,0,0,3,50,4,46,0,0
Lower Mahanoy Township,473,0,0,,0,0,0,0,0,0,0,0
Lower Makefield Township,32667,28,0,,3,6,19,474,71,383,20,0
Lower Merion Township,58226,42,0,,2,25,15,1090,257,798,35,0
Lower Milford Township,3832,0,0,,0,0,0,0,0,0,0,0
Lower Moreland Township,13122,7,0,,0,4,3,163,41,119,3,0
Lower Paxton Township,47692,81,2,,19,25,35,1024,170,833,21,3
Lower Pottsgrove Township,12156,25,1,,2,5,17,305,38,256,11,0
Lower Providence Township,25672,50,0,,1,3,46,265,50,209,6,0
Lower Salford Township,15319,5,0,,0,0,5,63,17,45,1,0
Lower Saucon Township,10803,10,1,,0,0,9,95,20,73,2,0
Lower Southampton Township,19027,22,1,,0,9,12,335,58,266,11,1
Lower Swatara Township,8331,7,1,,1,2,3,129,14,111,4,1
Lower Windsor Township,7404,4,0,,1,0,3,78,11,57,10,2
Luzerne,2853,5,0,,2,0,3,80,15,63,2,0
Luzerne Township,5981,1,0,,0,0,1,29,2,27,0,0
Lykens,1771,0,0,,0,0,0,22,4,18,0,1
Macungie,3114,2,0,,0,0,2,9,4,4,1,0
Mahanoy City,4106,10,1,,2,2,5,134,35,94,5,2
"Mahoning Township, Lawrence County",3014,5,0,,0,0,5,41,6,34,1,0
Main Township,1305,0,0,,0,0,0,0,0,0,0,0
Malvern,3041,4,0,,0,0,4,17,0,16,1,0
Manheim Township,38857,26,0,,5,13,8,829,92,721,16,3
Manor,3282,3,0,,1,0,2,24,9,14,1,0
"Manor Township, Armstrong County",4235,0,0,,0,0,0,0,0,0,0,0
"Manor Township, Lancaster County",20106,11,1,,2,1,7,248,40,200,8,1
Mansfield,3629,1,0,,0,0,1,4,0,4,0,0
Marcus Hook,2394,30,0,,0,0,30,86,3,80,3,1
Marietta,2589,2,0,,0,1,1,47,13,33,1,1
"Marion Township, Beaver County",912,0,0,,0,0,0,2,0,2,0,0
"Marion Township, Berks County",1768,0,0,,0,0,0,11,6,4,1,0
Marlborough Township,3288,1,0,,1,0,0,13,4,8,1,0
Marple Township,23554,12,0,,1,5,6,372,34,331,7,3
Mars,1681,1,0,,1,0,0,12,2,10,0,0
Martinsburg,1946,0,0,,0,0,0,29,3,25,1,0
Masontown,3419,4,0,,0,0,4,98,29,67,2,0
McCandless,28792,12,0,,0,0,12,240,19,218,3,0
McDonald Borough,2131,8,0,,0,0,8,39,8,29,2,0
McKeesport,21456,407,7,,7,72,321,710,232,446,32,18
McKees Rocks,6086,98,1,,1,44,52,298,91,196,11,1
McSherrystown,3036,1,0,,0,0,1,15,3,12,0,0
Meadville,13227,17,0,,2,1,14,372,104,258,10,4
Mechanicsburg,8962,10,0,,2,6,2,175,24,149,2,10
Media,5337,30,0,,0,2,28,60,2,56,2,1
Mercer,1967,1,0,,0,1,0,22,7,15,0,0
Meshoppen,1479,14,0,,0,1,13,23,3,20,0,0
Meyersdale,2135,0,0,,0,0,0,6,2,4,0,0
